Species,phylo,climb2,climb,MANUS,SMI,BI,HRI,HEB,OLI,URI,CI,FRI,GI,FEB,TRI,TSI,PES,IM,SI,Catalog_number,Total_length,Tail_length,TAIL
Archboldomys_maximus,Archboldomys_maximus,0,0,0.695754717,0.449886963,1.134137151,0.099472494,0.355689525,0.186451212,0.05531386,1.356722014,0.081949652,0.072844135,0.197643278,0.046190288,0.284247927,0.389845095,0.667272727,0.719329214,193942,202,92,0.4554455
Batomys_granti,Batomys_granti,0.5,0.5,0.693113772,0.401836467,0.994315697,0.078705728,0.288150415,0.144050104,0.04091858,1.129919889,0.078369906,0.064437478,0.222222222,0.054254007,0.369297164,0.477960242,0.765658217,0.76036036,214412,310,144,0.4645161
Bullimus_luzonicus,Bullimus_luzonicus,0.01,0,0.519957983,0.437145715,1.082027342,0.07369123,0.244414805,0.164860908,0.044216691,1.109550562,0.068820225,0.092930712,0.181179775,0.054852321,0.40443038,0.373979314,0.71171771,0.801680672,209588,449,219,0.4877506
Bullimus_luzonicus,Bullimus_luzonicus,0.01,0,0.521825397,0.452673632,1.085740627,0.075291948,0.226183159,0.158434548,0.039136302,1.159385291,0.068935236,0.086937431,0.190120746,0.052262829,0.351259231,0.394065591,0.70750305,0.827395091,209589,461,214,0.4642082
Bullimus_luzonicus,Bullimus_luzonicus,0.01,0,0.53256705,0.490076336,0.989312977,0.076335878,0.25648855,0.189485846,0.04621606,1.086095476,0.080258495,0.099020221,0.192620388,0.058733205,0.350287908,0.38595592,0.67322874,0.834367727,188450,463,207,0.4470842
Bullimus_luzonicus,Bullimus_luzonicus,0.01,0,0.535374868,0.46605197,0.988264878,0.07152836,0.219893825,0.16036228,0.043686734,1.128971572,0.078177258,0.089464883,0.186036789,0.052212553,0.38141085,0.409810935,0.719980363,0.890862944,185971,475,229,0.4821053
Bullimus_luzonicus,Bullimus_luzonicus,0.01,0,0.541625857,0.456855792,1.062943262,0.088356974,0.255910165,0.174867725,0.051058201,1.115811088,0.077207392,0.09486653,0.175564682,0.060360692,0.366948841,0.40062435,0.695263975,0.861566485,188455,457,202,0.4420131
Bullimus_luzonicus,Bullimus_luzonicus,0.01,0,0.548672566,0.446875,1.057291667,0.076388889,0.257986111,0.175184729,0.042487685,1.13701283,0.070442992,0.092713629,0.198499153,0.052160954,0.329359165,0.370390754,0.694154961,0.845598194,214415,403,188,0.4665012
Chrotomys_whiteheadi,Chrotomys_whiteheadi,0,0,0.616084977,0.480976984,1.024894317,0.098168154,0.29309535,0.186637931,0.046982759,1.127434233,0.077212163,0.089853092,0.17594807,0.052424242,0.370606061,0.421826625,0.714469247,0.778232885,62284,282,115,0.4078014
Musseromys_beneficus,Musseromys_beneficus,1,1,0.810606061,0.45146379,1.152542373,0.089368259,0.266563945,0.132607303,0.037796284,1.294533762,0.074598071,0.061736334,0.192926045,0.046696473,0.36164928,0.53115727,0.801289238,0.737488196,198857,172,88,0.5116279
